38 0080          pushi 80                       // $80 indexOf
38 0520          pushi 520                      // $520 sel_1312
38 0521          pushi 521                      // $521 sel_1313
38 0522          pushi 522                      // $522 sel_1314
38 0524          pushi 524                      // $524 sel_1316
38 0525          pushi 525                      // $525 sel_1317
38 0528          pushi 528                      // $528 sel_1320
38 0532          pushi 532                      // $532 sel_1330
38 0546          pushi 546                      // $546 sel_1350
38 0550          pushi 550                      // $550 sel_1360
38 055a          pushi 55a                      // $55a sel_1370
38 056e          pushi 56e                      // $56e sel_1390
38 0578          pushi 578                      // $578 sel_1400
38 057b          pushi 57b                      // $57b sel_1403
38 0582          pushi 582                      // $582 sel_1410
38 058c          pushi 58c                      // $58c sel_1420
38 05a0          pushi 5a0                      // $5a0 sel_1440
38 05aa          pushi 5aa                      // $5aa sel_1450
38 05ac          pushi 5ac                      // $5ac sel_1452
38 05af          pushi 5af                      // $5af sel_1455
38 05b4          pushi 5b4                      // $5b4 sel_1460
38 05be          pushi 5be                      // $5be sel_1470
38 05c8          pushi 5c8                      // $5c8 sel_1480
38 05d2          pushi 5d2                      // $5d2 sel_1490
38 05dc          pushi 5dc                      // $5dc sel_1500
38 05fa          pushi 5fa                      // $5fa sel_1530
38 05fe          pushi 5fe                      // $5fe sel_1534
38 05ff          pushi 5ff                      // $5ff sel_1535
38 0604          pushi 604                      // $604 sel_1540
38 060e          pushi 60e                      // $60e sel_1550
38 0618          pushi 618                      // $618 sel_1560
38 0619          pushi 619                      // $619 sel_1561
38 061d          pushi 61d                      // $61d sel_1565
38 0622          pushi 622                      // $622 sel_1570
38 062c          pushi 62c                      // $62c sel_1580
38 0636          pushi 636                      // $636 sel_1590
38 0640          pushi 640                      // $640 sel_1600
38 0641          pushi 641                      // $641 sel_1601
38 064a          pushi 64a                      // $64a sel_1610
38 0654          pushi 654                      // $654 sel_1620
38 0659          pushi 659                      // $659 sel_1625
38 065e          pushi 65e                      // $65e sel_1630
38 0668          pushi 668                      // $668 sel_1640
38 0672          pushi 672                      // $672 sel_1650
38 067c          pushi 67c                      // $67c sel_1660
38 0686          pushi 686                      // $686 sel_1670
38 0690          pushi 690                      // $690 sel_1680
38 06a4          pushi 6a4                      // $6a4 sel_1700
38 06a5          pushi 6a5                      // $6a5 sel_1701
38 06a6          pushi 6a6                      // $6a6 sel_1702
38 06a9          pushi 6a9                      // $6a9 sel_1705
38 06ae          pushi 6ae                      // $6ae sel_1710
38 06d6          pushi 6d6                      // $6d6 sel_1750
38 0708          pushi 708                      // $708 sel_1800
38 070c          pushi 70c                      // $70c sel_1804
38 073d          pushi 73d                      // $73d sel_1853
38 073e          pushi 73e                      // $73e sel_1854
38 07d0          pushi 7d0                      // $7d0 sel_2000
38 0800          pushi 800                      // $800 sel_2048
38 0810          pushi 810                      // $810 sel_2064
38 0834          pushi 834                      // $834 sel_2100
38 0870          pushi 870                      // $870 sel_2160
38 0871          pushi 871                      // $871 sel_2161
38 0872          pushi 872                      // $872 sel_2162
38 0f00          pushi f00                      // $f00 sel_3840
38 1234          pushi 1234                     // $1234 sel_4660
38 1388          pushi 1388                     // $1388 sel_5000
38 1770          pushi 1770                     // $1770 sel_6000
38 2710          pushi 2710                     // $2710 sel_10000
38 2e00          pushi 2e00                     // $2e00 sel_11776
38 2f00          pushi 2f00                     // $2f00 sel_12032
38 4000          pushi 4000                     // $4000 sel_16384
38 400b          pushi 400b                     // $400b sel_16395
38 400c          pushi 400c                     // $400c sel_16396
38 4010          pushi 4010                     // $4010 sel_16400
38 4011          pushi 4011                     // $4011 sel_16401
38 4041          pushi 4041                     // $4041 sel_16449
38 4051          pushi 4051                     // $4051 sel_16465
38 4101          pushi 4101                     // $4101 sel_16641
38 4111          pushi 4111                     // $4111 sel_16657
38 4800          pushi 4800                     // $4800 sel_18432
38 4810          pushi 4810                     // $4810 sel_18448
38 4b00          pushi 4b00                     // $4b00 sel_19200
38 4d00          pushi 4d00                     // $4d00 sel_19712
38 5000          pushi 5000                     // $5000 sel_20480
38 5010          pushi 5010                     // $5010 sel_20496
38 6000          pushi 6000                     // $6000 sel_24576
38 6006          pushi 6006                     // $6006 sel_24582
38 6800          pushi 6800                     // $6800 sel_26624
38 6810          pushi 6810                     // $6810 sel_26640
38 6911          pushi 6911                     // $6911 sel_26897
38 7d00          pushi 7d00                     // $7d00 sel_32000
38 7f7e          pushi 7f7e                     // $7f7e sel_32638
38 7ffe          pushi 7ffe                     // $7ffe sel_32766
38 7fff          pushi 7fff                     // $7fff sel_32767
38 8000          pushi 8000                     // $8000 sel_32768
38 8006          pushi 8006                     // $8006 sel_32774
38 8007          pushi 8007                     // $8007 sel_32775
38 8009          pushi 8009                     // $8009 sel_32777
38 800a          pushi 800a                     // $800a sel_32778
38 c350          pushi c350                     // $c350 sel_50000
38 fc7c          pushi fc7c                     // $fc7c sel_64636
38 fe0c          pushi fe0c                     // $fe0c sel_65036
38 feff          pushi feff                     // $feff sel_65279
38 ff38          pushi ff38                     // $ff38 sel_65336
38 ff6a          pushi ff6a                     // $ff6a sel_65386
